Year,Contestant,Original script,Rank,Award
2000,Juris Kalvans,Juris Kalvans,161,Honorable mention
2000,Andrejs Pelss,Andrejs Pelss,,Participant
2000,Valdis Brutans,Valdis Brutans,,Participant
2000,Martins Sudars,Martins Sudars,198,Honorable mention
1999,Linards Kalvans,Linards Kalvans,67,Bronze medal
1999,Reinis Vilšskersts,Reinis Vilšskersts,,Participant
1999,Juris Kalvans,Juris Kalvans,,Participant
1999,Natalija Usacova,Natalija Usacova,,Participant
1998,Juris Meija,Juris Meija,76,Bronze medal
1998,Linards Kalvans,Linards Kalvans,102,Bronze medal
1998,Inara Cipane,Inara Cipane,,Participant
1998,Aleksejs Kontijevskis,Aleksejs Kontijevskis,,Participant
1997,Aigars Piruska,Aigars Piruska,65,Bronze medal
1997,Konosonks Armanos,Konosonks Armanos,82,Bronze medal
1997,Meija Juris,Meija Juris,93,Bronze medal
1997,Andis Kaivans,Andis Kaivans,,Participant
1996,Jevgenijs Rogovs,Jevgenijs Rogovs,82,Bronze medal
1996,Andis Kalvans,Andis Kalvans,112,Bronze medal
1996,Vasilijs Mihailovs,Vasilijs Mihailovs,,Participant
1996,Liene Kule,Liene Kule,,Participant
1995,Juris Fotins,Juris Fotins,99,Bronze medal
1995,Janis Garancs,Janis Garancs,,Participant
1995,Edgars Liepins,Edgars Liepins,,Participant
1995,Helmars Smits,Helmars Smits,,Participant
1994,Vadims Bartkevics,Vadims Bartkevics,98,Bronze medal
1994,Juris Luksts,Juris Luksts,100,Bronze medal
1994,Adrians Lozovskis,Adrians Lozovskis,,Participant
1994,Maris Turks,Maris Turks,,Participant
1993,Davis Kulis,Davis Kulis,18,Gold medal
1993,Igors Klimenkovs,Igors Klimenkovs,41,Silver medal
1993,Andris Silis,Andris Silis,87,Bronze medal
1993,Mārtins Krievins,Mārtins Krievins,,Participant
1992,Janis Jaunbergs,Janis Jaunbergs,40,Silver medal
1992,Igors Klimenkovs,Igors Klimenkovs,42,Silver medal
1992,Ivars Lusis,Ivars Lusis,81,Bronze medal
1992,Janis Bisenieks,Janis Bisenieks,,Participant
1991,Kaspars Melkis,Kaspars Melkis,47,Bronze medal
1991,Ilze Lielpetere,Ilze Lielpetere,58,Bronze medal
1991,Vilnis Liepins,Vilnis Liepins,,Participant
1991,Igors Klimenkovs,Igors Klimenkovs,,Participant
