Year,Contestant,Original script,Rank,Award
2024,Yufei Chen,Yufei Chen,3,Gold medal
2024,Alice Wang Liu,Alice Wang Liu,20,Gold medal
2024,Yunyi Ling,Yunyi Ling,30,Gold medal
2024,Anant Asthana,Anant Asthana,59,Silver medal
2023,Anurag Sodhi,Anurag Sodhi,18,Gold medal
2023,Phoenix Wu,Phoenix Wu,19,Gold medal
2023,Alice Liu,Alice Wang Liu,61,Silver medal
2023,Mingwen Duan,Mingwen Wayne Duan,69,Silver medal
2022,Nathan Yihe Ouyang,Nathan Yihe Ouyang,6,Gold medal
2022,Jack Howard Liu,Jack Howard Liu,37,Silver medal
2022,Phoenix Wu,Phoenix Wu,60,Silver medal
2022,Gideon Alain Tzafriri,Gideon Alain Tzafriri,94,Silver medal
2021,Qiyang Zhou,Qiyang Zhou,13,Gold medal
2021,Yitian Zhu,Yitian Zhu,27,Gold medal
2021,Nikhil Seshadri,Nikhil Seshadri,42,Silver medal
2021,Kien Phuong,Kien Phuong,73,Silver medal
2020,Alex Zihan Li,Alex Zihan Li,1,Gold medal
2020,Alec Chen Zhu,Alec Chen Zhu,8,Gold medal
2020,Ananthan Sadagopan,Ananthan Sadagopan,12,Gold medal
2020,Anugrah George Chemparathy,Anugrah George Chemparathy,24,Gold medal
2019,Yajvan Milind Ravan,Yajvan Milind Ravan,19,Gold medal
2019,Anton Zane Ni,Anton Zane Ni,28,Gold medal
2019,Edward Hua Jin,Edward Hua Jin,30,Gold medal
2019,Albert Cheng Liu,Albert Cheng Liu,59,Silver medal
2018,Jeffrey Shullen Shi,Jeffrey Shullen Shi,4,Gold medal
2018,Michelle Lu,Michelle Lu,10,Gold medal
2018,Andrew Shucheng Wu,Andrew Shucheng Wu,12,Gold medal
2018,Yutong Dai,Yutong Dai,13,Gold medal
2017,Harrison Wang,Harrison Wang,5,Gold medal
2017,Joshua Park,Joshua Park,16,Gold medal
2017,Steven Liu,Steven Liu,28,Gold medal
2017,Brendan Yap,Brendan Yap,32,Gold medal
2016,Alex Liu,Alex Liu,8,Gold medal
2016,Kevin Tang,Kevin Tang,44,Silver medal
2016,Joyce Tian,Joyce Tian,66,Silver medal
2016,Zilu Pan,Zilu Pan,102,Bronze medal
2015,David I-Hsuan Wang,David I-Hsuan Wang,7,Gold medal
2015,Janice Xin-Yee Ong,Janice Xin-Yee Ong,76,Silver medal
2015,Bryce Zhiyuan Cai,Bryce Zhiyuan Cai,82,Silver medal
2015,Soorajnath Boominathan,Soorajnath Boominathan,83,Silver medal
2014,Robert Qihang Kao,Robert Qihang Kao,28,Gold medal
2014,Derek Schawn Wang,Derek Schawn Wang,41,Silver medal
2014,Stephen Zhouyu Li,Stephen Zhouyu Li,44,Silver medal
2014,Andrew Chen,Andrew Chen,50,Silver medal
2013,David Lu Liang,David Lu Liang,21,Gold medal
2013,Runpeng Liu,Runpeng Liu,26,Gold medal
2013,Stephen I-Ming Ting,Stephen I-Ming Ting,36,Silver medal
2013,Saaket Agrawal,Saaket Agrawal,47,Silver medal
2012,Christopher Hillenbrand,Christopher Hillenbrand,16,Gold medal
2012,Sidharth Chand,Sidharth Chand,64,Silver medal
2012,James Deng,James Deng,70,Silver medal
2012,Jason Ge,Jason Ge,81,Silver medal
2011,Konstantın A. Borisov,Konstantın A. Borisov,9,Gold medal
2011,Joe K. Tung,Joe K. Tung,24,Gold medal
2011,Elmer H. Tan,Elmer H. Tan,48,Silver medal
2011,Tayyab H. Shah,Tayyab H. Shah,80,Silver medal
2010,Colin Lu,Colin Lu,21,Gold medal
2010,Alexander Siegenfeld,Alexander Siegenfeld,22,Gold medal
2010,Richard Li,Richard Li,52,Silver medal
2010,Utsarga Sikder,Utsarga Sikder,94,Bronze medal
2009,Yixiao Wang,Yixiao Wang,25,Gold medal
2009,Nathan Benjamin,Nathan Benjamin,34,Silver medal
2009,Brian Seifried,Brian Seifried,37,Silver medal
2009,Colin Lu,Colin Lu,59,Silver medal
2008,Jonathan David Lee,Jonathan David Lee,70,Silver medal
2008,Yuxin Xie,Yuxin Xie,89,Bronze medal
2008,Lu Jenny,Lu Jenny,132,Bronze medal
2008,Andrew Zhangyanchu Liu,Andrew Zhangyanchu Liu,137,Bronze medal
2007,Brian Kihoon Lee,Brian Kihoon Lee,40,Silver medal
2007,Justin Koh,Justin Koh,43,Silver medal
2007,Kenneth Brewer,Kenneth Brewer,65,Silver medal
2007,Sofia Izmailov,Sofia Izmailov,152,Bronze medal
2006,Michael Robert Blaisse,Michael Robert Blaisse,55,Silver medal
2006,Gregory Drew Brockman,Gregory Drew Brockman,64,Silver medal
2006,Andrew Michael Freddo,Andrew Michael Freddo,77,Silver medal
2006,Alexander Benjamin Zozula,Alexander Benjamin Zozula,94,Bronze medal
2005,Jacob Sanders,Jacob Sanders,48,Silver medal
2005,Nicholas Sofroniew,Nicholas Sofroniew,64,Silver medal
2005,Allen Cheng,Allen Cheng,72,Silver medal
2005,Scott Rabin,Scott Rabin,110,Bronze medal
2004,Eric Brown,Eric Brown,56,Silver medal
2004,Emily Tsui,Emily Tsui,66,Silver medal
2004,Fan Zhang,Fan Zhang,75,Silver medal
2004,John Leon Kiappes Jr.,John Leon Kiappes Jr.,78,Silver medal
2003,Wei-Han Bobby Liu,Wei-Han Bobby Liu,80,Silver medal
2003,Eric Brown,Eric Brown,98,Bronze medal
2003,Benjamin Kaduk,Benjamin Kaduk,100,Bronze medal
2003,Frances Hocutt,Frances Hocutt,104,Bronze medal
2002,Helen Shi,Helen Shi,21,Gold medal
2002,Daniel Cissell,Daniel Cissell,25,Gold medal
2002,Colin Whittaker,Colin Whittaker,36,Silver medal
2002,Timothy Davenport,Timothy Davenport,90,Bronze medal
2001,Sean Kedrowski,Sean Kedrowski,7,Gold medal
2001,Binghai Ling,Binghai Ling,15,Gold medal
2001,Albert Wang,Albert Wang,25,Silver medal
2001,Collin Martin,Collin Martin,27,Silver medal
2000,David Kurtz,David Kurtz,1,Gold medal
2000,Charles Duan,Charles Duan,13,Gold medal
2000,Luke McSpadden,Luke McSpadden,69,Bronze medal
2000,Albert Wang,Albert Wang,74,Bronze medal
1999,Timothy Jones,Timothy Jones,1,Gold medal
1999,Alexander Ho,Alexander Ho,9,Gold medal
1999,Wei Ho,Wei Ho,20,Gold medal
1999,Lisa Carlivati,Lisa Carlivati,36,Silver medal
1998,Tom Snyder,Tom Snyder,2,Gold medal
1998,Ian Baker,Ian Baker,6,Gold medal
1998,Alexander Ioannidis,Alexander Ioannidis,30,Silver medal
1998,Wei Ho,Wei Ho,86,Bronze medal
1997,Jason Chen,Jason Chen,2,Gold medal
1997,Jordan Krall,Jordan Krall,38,Silver medal
1997,Andrew Heckerling,Andrew Heckerling,50,Silver medal
1997,Ian Baker,Ian Baker,110,Bronze medal
1996,Henry Fu,Henry Fu,8,Gold medal
1996,Alex MeVay,Alex MeVay,39,Silver medal
1996,Jr. Gary Michael Sawka.,Jr. Gary Michael Sawka.,45,Silver medal
1996,Jason Chen,Jason Chen,63,Bronze medal
