Year,Contestant,Original script,Rank,Award
2001,Teemu Rajala,Teemu Rajala,,Participant
2001,Tuomas Kangasniemi,Tuomas Kangasniemi,168,Honorable mention
2001,Teemu Isojarui,Teemu Isojarui,190,Honorable mention
2000,Laura Koponen,Laura Koponen,31,Silver medal
2000,Jouni Flyktman,Jouni Flyktman,35,Silver medal
2000,Irina Moilanen,Irina Moilanen,96,Bronze medal
2000,Teemu Järvinen,Teemu Järvinen,102,Bronze medal
1999,Flyktman Jouni,Flyktman Jouni,108,Bronze medal
1999,Pietila Risto,Pietila Risto,,Participant
1999,Turunen Lea,Turunen Lea,,Participant
1999,Hakonen Anna,Hakonen Anna,,Participant
1998,Kjell Knapas,Kjell Knapas,85,Bronze medal
1998,Toni K. Rantanen,Toni K. Rantanen,88,Bronze medal
1998,Aki Abe,Aki Abe,119,Bronze medal
1998,Risto Pietila,Risto Pietila,120,Bronze medal
1997,Antti Lankila,Antti Lankila,,Participant
1997,Tomas T. Guss,Tomas T. Guss,,Participant
1997,Kjell Johan Patrik Knapas,Kjell Johan Patrik Knapas,,Participant
1997,Toni K. Rantanen,Toni K. Rantanen,,Participant
1996,Kjell Knapas,Kjell Knapas,,Participant
1996,Kirsi Juntunen,Kirsi Juntunen,,Participant
1996,Harri Niemi,Harri Niemi,,Participant
1996,Antti Siiskonen,Antti Siiskonen,,Participant
1995,Antti Niskanen,Antti Niskanen,,Participant
1995,Markku Ursin,Markku Ursin,,Participant
1995,Otto H. Seppala,Otto H. Seppala,,Participant
1995,Niko S. Jaakkola,Niko S. Jaakkola,,Participant
1994,Ann-Sofi Vikström,Ann-Sofi Vikström,101,Honorable mention
1994,Risto Pajarre,Risto Pajarre,120,Honorable mention
1994,Mikko Syrjälahti,Mikko Syrjälahti,,Participant
1994,Markus Airila,Markus Airila,141,Honorable mention
1993,Johanna Kosonen,Johanna Kosonen,66,Bronze medal
1992,Tuomas Lukka,Tuomas Lukka,,Participant
1992,Kari Skog,Kari Skog,,Participant
1992,Asko Kinnala,Asko Kinnala,,Participant
1992,Jakko Matias Palva,Jakko Matias Palva,,Participant
1991,Esa Heikki Kuusela,Esa Heikki Kuusela,63,Bronze medal
1991,Juha Olavi Kärnä,Juha Olavi Kärnä,,Participant
1991,Juka Johannos Jokiniva,Juka Johannos Jokiniva,,Participant
1991,Kalle Simeoni Kaukonen,Kalle Simeoni Kaukonen,,Participant
1990,Petri Mathias Pihko,Petri Mathias Pihko,23,Silver medal
1990,Mika Lindvall,Mika Lindvall,54,Bronze medal
1990,Janne Isohao,Janne Isohao,,Participant
1989,Petri Mathias Pihko,Petri Mathias Pihko,26,Silver medal
1989,Mikko Aleksi Uusitalo,Mikko Aleksi Uusitalo,,Participant
1989,Tomi Erik Salminen,Tomi Erik Salminen,,Participant
1989,Klaus Johan Himberg,Klaus Johan Himberg,,Participant
1988,Markus Kosonen,Markus Kosonen,18,Silver medal
1988,Petri Mathias Pihko,Petri Mathias Pihko,36,Bronze medal
1988,Marko Heinilä,Marko Heinilä,,Participant
1988,Mika Lindvall,Mika Lindvall,,Participant
1987,Markus Kosonen,Markus Kosonen,31,Silver medal
1987,Mika Mäkinen,Mika Mäkinen,41,Bronze medal
1987,Pekka Fessi,Pekka Fessi,57,Bronze medal
1987,Pelteri Keranen,Pelteri Keranen,,Participant
1986,Arto Kyttala,Arto Kyttala,,Participant
1986,Sami Toppinen,Sami Toppinen,,Participant
1986,Ilkka Lahdesmaki,Ilkka Lähdesmäki,,Participant
1986,Mika Makinen,Mika Makinen,,Participant
1985,Karri Palovuori,Karri Palovuori,45,Bronze medal
1985,Jari Yli-Kauhaluoma,Jari Yli-Kauhaluoma,46,Bronze medal
1985,Erkki Solala,Erkki Solala,,Participant
1985,Jaakko Vikberg,Jaakko Vikberg,,Participant
1984,Kari Andersin,Kari Andersin,27,Bronze medal
1984,Karri Palovuori,Karri Palovuori,34,Bronze medal
1984,Petri Kuosmanen,Petri Kuosmanen,49,Bronze medal
1984,Jari Tapanainen,Jari Tapanainen,,Participant
1982,Matti Hiltunen,Matti Hiltunen,38,Bronze medal
1982,Kentta Santeri,Kentta Santeri,39,Bronze medal
1982,Rauno Luoma,Rauno Luoma,45,Bronze medal
1981,Kalle Holmström,Kalle Holmström,,Participant
1981,Tuomo Telkka,Tuomo Telkka,,Participant
