Year,Contestant,Original script,Rank,Award
1998,Petr Dobes,Petr Dobes,,Participant
1997,Vlatimil Kulda,Vlatimil Kulda,14,Gold medal
1997,Jana Humpolickova,Jana Humpolickova,90,Bronze medal
1997,Stanislav Kukla,Stanislav Kukla,98,Bronze medal
1997,Ondrej Demel,Ondrej Demel,110,Bronze medal
1996,Jiří Franta,Jiří Franta,19,Gold medal
1996,Petr Matousgek,Petr Matousgek,29,Silver medal
1996,Petr Holzhauser,Petr Holzhauser,52,Silver medal
1996,Vlastimil Kulda,Vlastimil Kulda,66,Bronze medal
1995,Ludek Meca,Ludek Meca,10,Gold medal
1995,Jiří Janecek,Jiří Janecek,15,Gold medal
1995,Jiří Franta,Jiří Franta,92,Bronze medal
1995,Petr Matousek,Petr Matousek,101,Bronze medal
1994,Jiří Janecek,Jiří Janecek,24,Silver medal
1994,Ludek Meca,Ludek Meca,49,Silver medal
1994,Igor Glücksmann,Igor Glücksmann,54,Bronze medal
1994,Ján Kotek,Ján Kotek,62,Bronze medal
1993,Frantisek Sanda,František Šanda,26,Silver medal
1993,Jiri Spicka,Jiří Špička,45,Silver medal
1993,Dagmar Pavlitsova,Dagmar Pavlicová,55,Bronze medal
1993,Ludvik Meca,Ludvík Meca,68,Bronze medal
