Year,Contestant,Original script,Rank,Award
1999,Martyn Veld,Martyn Veld,125,Bronze medal
1999,Sytze Dykstra,Sytze Dykstra,,Participant
1998,Erik Couzijn,Erik Couzijn,31,Silver medal
1998,Yung-Chin Oei,Yung-Chin Oei,78,Bronze medal
1998,Harmen Wassenaar,Harmen Wassenaar,79,Bronze medal
1998,Pieter Nieuwland,Pieter Nieuwland,,Participant
1997,Harma Feitsma,Harma Feitsma,59,Bronze medal
1997,Erik Couzyn,Erik Couzyn,130,Honorable mention
1997,Ben Vrakking,Ben Vrakking,,Participant
1997,Karin Feddes,Karin Feddes,146,Honorable mention
1996,Matheus Romans,Matheus Romans,85,Bronze medal
1996,Kim Christiaan Jansen,Kim Christiaan Jansen,93,Bronze medal
1996,Caroline Tan,Caroline Tan,113,Bronze medal
1996,Hylke De Jonge,Hylke De Jonge,,Participant
1995,Paul Peijzel,Paul Peijzel,51,Silver medal
1995,Chirs Dams,Chirs Dams,86,Bronze medal
1995,Ruth Deboer,Ruth Deboer,,Participant
1995,Hetly Jolink,Hetly Jolink,,Participant
1994,Renske Beetstra,Renske Beetstra,9,Gold medal
1994,Erik Delsman,Erik Delsman,52,Silver medal
1994,Eric-Wubbo Lameijer,Eric-Wubbo Lameijer,91,Bronze medal
1994,Joost Vervoort,Joost Vervoort,,Participant
1993,Patrick van Aarle,Patrick van Aarle,52,Bronze medal
1993,Govert Heyboer,Govert Heyboer,57,Bronze medal
1993,Sader van Doorn,Sader van Doorn,83,Bronze medal
1992,Paul Lieverse,Paul Lieverse,50,Bronze medal
1992,Marc Schryver,Marc Schryver,67,Bronze medal
1992,Gerrit-Jan Kreeft,Gerrit-Jan Kreeft,71,Bronze medal
1992,Maikel Wilms,Maikel Wilms,74,Bronze medal
1991,Michiel van Vliet,Michiel van Vliet,6,Gold medal
1991,Christian Kok,Christian Kok,15,Silver medal
1991,Maikel Wilms,Maikel Wilms,41,Bronze medal
1991,Arnoud de Vooys,Arnoud de Vooys,56,Bronze medal
1990,Michiel van Vliet,Michiel van Vliet,15,Silver medal
1990,Arnold Metselaar,Arnold Metselaar,43,Bronze medal
1990,Sjoerd Groning,Sjoerd Groning,,Participant
1990,Maurice Baars,Maurice Baars,,Participant
1989,Martijn Mulders,Martijn Mulders,17,Silver medal
1989,Katinka Ridderbos,Katinka Ridderbos,30,Silver medal
1989,Sjoerd Schreuder,Sjoerd Schreuder,57,Bronze medal
1989,Patrick Frederix,Patrick Frederix,58,Bronze medal
1988,Mies Dronkert,Mies Dronkert,3,Gold medal
1988,Pieter van Andel,Pieter van Andel,49,Bronze medal
1988,Pim Vijfhuizen,Pim Vijfhuizen,65,Bronze medal
1988,Hans Heuts,Hans Heuts,,Participant
1987,Johan Hopman,Johan Hopman,23,Silver medal
1987,Jan Kees van der Waal,Jan Kees van der Waal,32,Silver medal
1987,Arno Breunese,Arno Breunese,36,Bronze medal
1987,Gerard Egelmeers,Gerard Egelmeers,57,Bronze medal
1986,Alain Verberkmoes,Alain Verberkmoes,1,Gold medal
1986,Alec Massen van der Brink,Alec Massen van der Brink,2,Gold medal
1986,Winfred Stoffels,Winfred Stoffels,13,Silver medal
1986,Arnold Niessen,Arnold Niessen,24,Silver medal
1985,Jeroen van Duijneveldt,Jeroen van Duijneveldt,14,Silver medal
1985,Alain Verberkmoes,Alain Verberkmoes,16,Silver medal
1985,Peter van de Berg,Peter van de Berg,22,Silver medal
1985,Rob Hooft,Rob Hooft,47,Bronze medal
1984,Eugene Jansen,Eugene Jansen,25,Bronze medal
1984,Peter van Gelderen,Peter van Gelderen,31,Bronze medal
1984,Jan Broeze,Jan Broeze,43,Bronze medal
1984,Olivier Kenter,Olivier Kenter,,Participant
1982,de Jeu Rob,de Jeu Rob,4,Gold medal
1982,Hakvoort Erik,Hakvoort Erik,8,Gold medal
1982,Boon Andries,Boon Andries,27,Bronze medal
1982,Hollanders Mark,Hollanders Mark,29,Bronze medal
1981,Ronald Hage,Ronald Hage,32,Bronze medal
1981,Bart Geerlings,Bart Geerlings,,Participant
1981,Ellen Hilhorst,Ellen Hilhorst,,Participant
1981,Gerben Smeenk,Gerben Smeenk,,Participant
1980,Erik Verlinde,különdíj,33,Honorable mention
1980,Martin Borsje,Martin Borsje,38,Honorable mention
1980,Hermann Verlinde,Hermann Verlinde,44,Honorable mention
1980,Peter Hoogerbrugge,Peter Hoogerbrugge,45,Honorable mention
