Year,Contestant,Original script,Rank,Award
1998,Valeria Sizemskaja,Valeria Sizemskaja,109,Bronze medal
1998,Ruslan Svetlitski,Ruslan Svetlitski,,Participant
1998,Ivo Antsi,Ivo Antsi,,Participant
1998,Jan Klaasen,Jan Klaasen,,Participant
1997,Valerija Sizemskaja,Valerija Sizemskaja,54,Silver medal
1997,Anton Samussenko,Anton Samussenko,61,Bronze medal
1997,Olga Chubrik,Olga Chubrik,72,Bronze medal
1997,Kaido Vihy,Kaido Vihy,119,Honorable mention
1996,Ain Uustare,Ain Uustare,55,Silver medal
1996,Olga Tsubrik,Olga Tsubrik,68,Bronze medal
1996,Aleksei Lulla,Aleksei Lulla,81,Bronze medal
1996,Artur Jogi,Artur Jogi,107,Bronze medal
1995,Ain Uustare,Ain Uustare,60,Bronze medal
1995,Jaak Suurpere,Jaak Suurpere,64,Bronze medal
1995,Alexei Lulia,Alexei Lulia,,Participant
1995,Arthur Jogi,Arthur Jogi,,Participant
1994,Jaak Suurpere,Jaak Suurpere,95,Bronze medal
1994,Ain Uustare,Ain Uustare,105,Honorable mention
1994,Matti Mottus,Matti Mottus,131,Honorable mention
1994,Ave Sarapuu,Ave Sarapuu,,Participant
