Year,Contestant,Original script,Rank,Award
2022,Naima Rahimi,نعیمه رحیمی,,Participant
2022,Najia Madohzai,ناجیه مدوزی,,Participant
2022,Safar Ali Moradi,سفرعلی مرادی,,Participant
2022,Parwana Murad,پروانه مراد,,Participant
