Year,Contestant,Original script,Rank,Award
1997,Jonas Olsson,Jonas Olsson,82,Bronze medal
1997,Niklas Johansson,Niklas Johansson,,Participant
1996,Per Sundell,Per Sundell,105,Bronze medal
1996,Wilhelm Cronholm,Wilhelm Cronholm,,Participant
1996,Anders Dahlen,Anders Dahlen,,Participant
1996,Poyan Rajamand,Poyan Rajamand,,Participant
1995,Anders Logg,Anders Logg,53,Silver medal
1995,Bjorn Moden,Bjorn Moden,75,Bronze medal
1995,Tobias Andersson,Tobias Andersson,,Participant
1995,Magnus Aberg,Magnus Aberg,,Participant
1994,Anders Logg,Anders Logg,56,Bronze medal
1994,Per Björnsson,Per Björnsson,87,Bronze medal
1994,Martin Lindsjö,Martin Lindsjö,88,Bronze medal
1994,Carl Lundstam,Carl Lundstam,129,Honorable mention
1993,Malin Jansson Sjors,Malin Jansson Sjors,60,Bronze medal
1993,Johan Aberg,Johan Aberg,92,Bronze medal
1992,Nils-Fredrik Kaiser,Nils-Fredrik Kaiser,37,Silver medal
1992,Anders Knutsson,Anders Knutsson,59,Bronze medal
1992,Thomas Larsson,Thomas Larsson,,Participant
1992,Magnus Rasmussen,Magnus Rasmussen,,Participant
1991,Frank Wikström,Frank Wikström,45,Bronze medal
1991,Erik Lindahl,Erik Lindahl,53,Bronze medal
1991,Nils-Fredrik Kaiser,Nils-Fredrik Kaiser,,Participant
1991,Karl Andersson,Karl Andersson,,Participant
1990,Mattias Eden,Mattias Eden,,Participant
1990,Linda Waher,Linda Waher,,Participant
1990,Lennart Nilsson,Lennart Nilsson,,Participant
1990,Göran Johansson,Göran Johansson,,Participant
1989,Mattias Jonsson,Mattias Jonsson,31,Silver medal
1989,Patrik Jonsson,Patrik Jonsson,35,Bronze medal
1989,Lars Larsson-Cohn,Lars Larsson-Cohn,60,Bronze medal
1989,Ola Berntsson,Ola Berntsson,,Participant
1988,Juhan Jönsson,Juhan Jönsson,22,Silver medal
1988,Klas Lindbäck,Klas Lindbäck,,Participant
1988,Erik Hosen,Erik Hosen,,Participant
1988,Ragnar Henningson,Ragnar Henningson,,Participant
1987,Gustaf Hulthe,Gustaf Hulthe,40,Bronze medal
1987,Ola Wendt,Ola Wendt,50,Bronze medal
1987,Roland Stenutz,Roland Stenutz,,Participant
1987,Erik Rosen,Erik Rosen,,Participant
1986,Tomas Eriksson,Tomas Eriksson,4,Gold medal
1986,Gustaf Hulthe,Gustaf Hulthe,42,Bronze medal
1986,Erik Gustafson,Erik Gustafson,,Participant
1986,Peter Holmquist,Peter Holmquist,,Participant
1985,Björn Hedman,Björn Hedman,16,Silver medal
1985,Christina Keen,Christina Keen,,Participant
1985,Stefan Pampin,Stefan Pampin,,Participant
1985,Ulrika Öberg,Ulrika Öberg,,Participant
1984,Tomas Hansson,Tomas Hansson,9,Silver medal
1984,Peter Lönnerberg,Peter Lönnerberg,40,Bronze medal
1984,Björn Pilström,Björn Pilström,46,Bronze medal
1984,Lars Ernström,Lars Ernström,,Participant
1982,Kuylenstierna Hans-Olof,Kuylenstierna Hans-Olof,24,Bronze medal
1982,Holmgren Anders,Holmgren Anders,42,Bronze medal
1982,Peter Abrahamsson,Peter Abrahamsson,46,Bronze medal
1981,Christian Salamon,Christian Salamon,,Participant
1981,Anders Holst,Anders Holst,,Participant
1981,Torsten Svenonius,Torsten Svenonius,,Participant
1981,Ragnar Backström,Ragnar Backström,,Participant
1980,Torbjörn Tambour,Torbjörn Tambour,13,Silver medal
1980,Mikael Landgren,Mikael Landgren,23,Bronze medal
1980,Sten Sarman,Sten Sarman,39,Honorable mention
1980,Anders Wasterlid,Anders Wasterlid,41,Honorable mention
1979,Torbjörn Tambour,Torbjörn Tambour,4,Gold medal
1979,Magnus Larson,Magnus Larson,27,Bronze medal
1979,Mikael Landgren,Mikael Landgren,29,Bronze medal
1979,Anders Westerlid,Anders Westerlid,,Participant
1978,Frederik Lindberg,Frederik Lindberg,12,Silver medal
1978,Torbjörn Tambour,Torbjörn Tambour,17,Bronze medal
1978,Magnus Larson,Magnus Larson,,Participant
1978,Lennart Cider,Lennart Cider,,Participant
1977,Per Lincoln,Per Lincoln,3,Gold medal
1977,Torbjörn Warnheim,Torbjörn Warnheim,20,Bronze medal
1977,Michael Lévay,Michael Lévay,26,Bronze medal
1977,Gunnar Nyman,Gunnar Nyman,33,Bronze medal
1976,Bror Sven-Erik Berggren,Bror Sven-Erik Berggren,17,3rd Prize
1976,Per Lincoln,Per Lincoln,18,3rd Prize
1976,Mats Carlsson,Mats Carlsson,34,Honorable mention
1976,Tiit Mathiesen,Tiit Mathiesen,,Participant
1975,Göran Hallin,Göran Hallin,20,Honorable mention
1975,Anders Ljungberg,Anders Ljungberg,23,Honorable mention
1975,Torbjörn Nillson,Torbjörn Nillson,32,Honorable mention
1975,Mats Ögren,Mats Ögren,34,Honorable mention
1974,Michael Welsh,Michael Welsh,,Participant
1974,Cecilia Fagerberg,Cecilia Fagerberg,,Participant
1974,Mats Rudling,Mats Rudling,,Participant
1974,Per Erdegren,Per Erdegren,,Participant
