Year,Contestant,Original script,Rank,Award
1999,Hans Asnes Holter,Hans Asnes Holter,,Participant
1998,Geir Kildahl-Andersen,Geir Kildahl-Andersen,72,Bronze medal
1998,Harald Overby,Harald Overby,106,Bronze medal
1998,Justas Krasuckis,Justas Krasuckis,113,Bronze medal
1998,JÀrgen Salvesen,JÀrgen Salvesen,,Participant
1997,Torbjorn Lindahl,Torbjorn Lindahl,39,Silver medal
1997,Bjorn Anderson,Bjorn Anderson,106,Bronze medal
1997,Carl Berg,Carl Berg,,Participant
1997,Petter Aslaksen,Petter Aslaksen,,Participant
1996,Magnar Nedland,Magnar Nedland,95,Bronze medal
1996,Dag Hovland,Dag Hovland,,Participant
1996,Tore Vamraak,Tore Vamraak,,Participant
1996,Marianne Lønmo,Marianne Lønmo,,Participant
1995,Tore August Kro,Tore August Kro,,Participant
1995,Martin Lersch,Martin Lersch,,Participant
1995,Bjarte Hitland,Bjarte Hitland,,Participant
1995,Ole Kristian Holen,Ole Kristian Holen,,Participant
1994,Halvor Nilsen,Halvor Nilsen,92,Bronze medal
1994,Håvard Pettersen,Håvard Pettersen,97,Bronze medal
1994,Rolf Skotheim,Rolf Skotheim,,Participant
1994,Terje Kolderup,Terje Kolderup,123,Honorable mention
1993,Håvard Pettersen,Håvard Pettersen,71,Bronze medal
1993,Joachim Pihl,Joachim Pihl,,Participant
1993,Åsulv Tønnesland,Åsulv Tønnesland,,Participant
1993,Johannes Skaar,Johannes Skaar,,Participant
1992,Øyvind Bjørkås,Øyvind Bjørkås,52,Bronze medal
1992,Ola Nilsen,Ola Nilsen,65,Bronze medal
1992,Sigurd Ugland,Sigurd Ugland,,Participant
1992,Knut Vassbo,Knut Vassbo,,Participant
1991,Stig Roar Myrseth,Stig Roar Myrseth,20,Silver medal
1991,Vebjørn Bakken,Vebjørn Bakken,26,Silver medal
1991,Halvard Fausk,Halvard Fausk,50,Bronze medal
1991,Øyvind Bjørkås,Øyvind Bjørkås,74,Bronze medal
1990,Rune Halseid,Rune Halseid,52,Bronze medal
1990,Henning S. Mortveit,Henning S. Mortveit,65,Bronze medal
1990,Ragnar Hauge,Ragnar Hauge,,Participant
1990,Bjorn Megard,Bjorn Megard,,Participant
1989,Ashild Vik,Ashild Vik,31,Silver medal
1989,Jarle Brinchmann,Jarle Brinchmann,46,Bronze medal
1989,Oyvind Tafjord,Oyvind Tafjord,66,Bronze medal
1989,Pal Dahle,Pal Dahle,,Participant
1988,Ole M. Svensen,Ole M. Svensen,8,Gold medal
1988,Tornbjoern Rognes,Rognes Tornbjörn,38,Bronze medal
1988,Kenneth Ruud,Kenneth Ruud,47,Bronze medal
1988,Sverre Prytz,Sverre Prytz,60,Bronze medal
1987,Kjetil Yri,Kjetil Yri,50,Bronze medal
1987,Roger Strand,Roger Strand,57,Bronze medal
1987,Bjorn Eric Seeberg,Bjorn Eric Seeberg,63,Bronze medal
1987,Hanne Grondal,Hanne Grondal,,Participant
1986,Alexander Fossa,Alexander Fosså,29,Bronze medal
