Year,Contestant,Original script,Rank,Award
1997,Sebastien Wins,Sebastien Wins,,Participant
1997,Bart Verberck,Bart Verberck,,Participant
1996,Wim Cannaerts,Wim Cannaerts,,Participant
1996,Terence John Wells,Terence John Wells,,Participant
1996,Kenno Vanommeslaeghe,Kenno Vanommeslaeghe,,Participant
1996,Kevin Clais,Kevin Clais,,Participant
1995,Raphael Robert Julia Bochlandt,Raphael Robert Julia Bochlandt,,Participant
1995,Schmits Raphael,Schmits Raphael,,Participant
1995,Bougard Bruno,Bougard Bruno,,Participant
1995,Rachid Faouzi,Rachid Faouzi,,Participant
1994,Kristiaan Vanbrabant,Kristiaan Vanbrabant,112,Honorable mention
1994,Frank Rijkers,Frank Rijkers,,Participant
1994,Claire Boland,Claire Boland,,Participant
1994,Fabrice Wenders,Fabrice Wenders,,Participant
1993,Peter Peumans,Peter Peumans,89,Bronze medal
1992,Christian Franssen,Christian Franssen,,Participant
1992,Xavier Tordoir,Xavier Tordoir,,Participant
1992,Christophe Peeters,Christophe Peeters,,Participant
1992,Wim Schonkeren,Wim Schonkeren,,Participant
1991,Kris de Meyer,Kris de Meyer,,Participant
1991,Remi Letot,Remi Letot,,Participant
1991,Bart Vandeputte,Bart Vandeputte,,Participant
1991,Jean-Marc Eloy,Jean-Marc Eloy,,Participant
1990,Michaël Alexandre,Michaël Alexandre,,Participant
1990,Michaël Simonis,Michaël Simonis,,Participant
1990,Stijn Mertens,Stijn Mertens,,Participant
1990,Jurgen Riondato,Jurgen Riondato,,Participant
1989,Vandekerckhove,Vandekerckhove,,Participant
1989,Wim Elseviera,Wim Elseviera,,Participant
1989,Jean-Francois Gohy,Jean-Francois Gohy,,Participant
1989,Anne-Cécile Draye,Anne-Cécile Draye,,Participant
1988,Marc-Olivier Coppens,Marc-Olivier Coppens,,Participant
1988,Rudi Labarbe,Rudi Labarbe,,Participant
1988,Vincent de Vroey,Vincent de Vroey,,Participant
1988,Pierre Robe,Pierre Robe,,Participant
1987,Bart Demeulenaere,Bart Demeulenaere,,Participant
