Year,Contestant,Original script,Rank,Award
1997,Kyung H. Kim,김경환,77,Bronze medal
1996,Hesson Park,박혜선,51,Silver medal
1996,Samuel Kim,김사무엘,77,Bronze medal
1996,Beom-Jung Yang,양범정,86,Bronze medal
1996,Byong-Gook Song,송병국,90,Bronze medal
1995,Seung-Bin Bae,배승빈,52,Silver medal
1995,Sangmin Lim,임상민,85,Bronze medal
1995,Kihyun Park,박기현,90,Bronze medal
1995,Chang-Ho Cho,조창호,,Participant
1994,Seung-Woo Kim,김승우,3,Gold medal
1994,Sang Il Han,한상일,28,Silver medal
1994,Jung-Won Kim,김정원,39,Silver medal
1994,Jin Woo Park,박진우,102,Honorable mention
1993,Hyung Yin Park,박형진,20,Silver medal
1993,Ho Wong Lee,이호웅,59,Bronze medal
1993,Xyun min Kang,강현민,70,Bronze medal
1993,Soo -Hyuk Choi,최수혁,81,Bronze medal
1992,Mun-Ho La,나문호,61,Bronze medal
1992,Jon-Ho Park,박천호,68,Bronze medal
1992,Tae Young Oh,오태영,80,Bronze medal
1992,Sang-min Park,박상민,,Participant
