Year,Contestant,Original script,Rank,Award
2001,Constantina Pospori,Κωνσταντινα Ποσπορη,,Participant
2001,George Chimonides,Γιωργος Χειμωνιδης,161,Honorable mention
2000,Nikolas Socratous,Νικόλας Σωκράτους,85,Bronze medal
2000,Panayiotis Mavrommatis,Παναγιώτης Μαυρομμάτης,117,Bronze medal
2000,Georgios Yiangou,Γιώργος Γιάγκου,,Participant
2000,Ariadne Georgiou,Αριάδνη Γεωργίου,,Participant
1999,Michalis Agathocleous,Μιχάλης Αγαθοκλέους,94,Bronze medal
1999,Stelios Timotheou,Τιμοθέου Στέλιος,,Participant
1999,Theodora Manoli,Θεοδώρα Μανώλη,,Participant
1999,Kyriakos Neophytou,Κυριάκος Νεοφυτου,,Participant
1998,Michalis Agathocleous,Μιχάλης Αγαθοκλέους,92,Bronze medal
1998,Elena Dionysiou,Ελένη Διονυσίου,,Participant
1998,Georgios Panayi,Γιώργος Παναγή,,Participant
1998,Nagia Petousi,Νάγια Πετούση,,Participant
1997,loannis Lestas,Ιωάννης Λέστας,78,Bronze medal
1997,Panayiotes Kyzas,Παναγιώτης Κύζας,,Participant
1997,George Panaye,Γιώργος Παναγή,,Participant
1997,Rania Livada,Ράνια Λιβάδα,,Participant
1996,loannis Lestas,Ιωάννης Λέστας,88,Bronze medal
1996,Panayiotis Andreas Kizas,Παναγιώτης Κύζας,114,Bronze medal
1996,Markella Marcou,Μαρκέλλα Μάρκου,,Participant
1996,Philippou Prodromos,Φιλίππου Προδρόμου,,Participant
1995,Stavros Stavrakis,Σταύρος Σταυράκης,96,Bronze medal
1995,Prodromos Philippou,Πρόδρομος Φιλίππου,,Participant
1995,Panayiotis Kyzas,Παναγιώτης Κύζας,,Participant
1995,Nasos Charalanbides,Νάσος Χαραλαμπίδης,,Participant
1994,Stavros Stavrakis,Σταύρος Σταυράκης,,Participant
1994,Ernestos Panayiotou,Ερνέστος Παναγιώτου,,Participant
1994,Marios Themistocleous,Μάριος Θεμιστοκλέους,,Participant
1994,Christiana Petrichov,Χριστιάνα Πετριχου,,Participant
1992,Maria Vorka,Μαρία Βορκα,,Participant
1992,Panayiota Poirazi,Παναγιώτα Ποϊράζη,,Participant
1992,Timotheos Tomotheou,Τιμόθεος Τιμοθέου,,Participant
1992,Andreas Kambanellas,Ανδρέας Καμπανελλας,,Participant
1991,Androulla Pastelli,Ανδρούλλα Παστελλη,,Participant
1991,Christodoula Moustaka,Χριστοδούλας Μουστάκα,,Participant
1991,Elena Solomou,Έλενα Σολωμού,,Participant
1991,Thekla Afantiti,Θέκλα Αφαντίτη,,Participant
1990,Kyriakos Kyriakides,Κυριάκος Κυριακίδης,,Participant
1990,Constantinos Kapodistrias,Κωνσταντίνος Καποδίστριας,,Participant
1990,Michael Michael,Μιχαήλ Μιχαήλ,,Participant
1990,Anastasia Papachristodoulou,Αναστασία Παπαχριστοδούλου,,Participant
