Year,Contestant,Original script,Rank,Award
2002,Yerzhigit Tolebekov,Ержігіт Төлепбеков,159,Honorable mention
2001,Zeinul-Gabiden Kazhkenov,Зейнул-Габиден Кажкенов,80,Bronze medal
2001,Taskyn Shokanbay,Ташкын Шоқанбай,126,Bronze medal
2001,Anuar Nurtazin,Әнуар Нұртазин,,Participant
2001,Rashid Amirov,Рашид Амиров,188,Honorable mention
2000,Adil Zhugralin,Әділ Жугралин,54,Silver medal
2000,Sergey Gussak,Сергей Гусак,134,Bronze medal
2000,Yuriy Kudryavtsev,Юрий Кудрявцев,,Participant
2000,Zeinul-Gabiden Kazhkenov,Зейнул-Габиден Кажкенов,,Participant
1999,Adil Zhugralin,Әділ Жугралин,99,Bronze medal
1999,Kirill Mayerle,Маерле Кирилл,118,Bronze medal
1999,Adil Baiguzhin,Әділ Байғожин,,Participant
1999,Nurzhan Nagashbekov,Нұржан Нагашбеков,,Participant
1998,Askerbek Zhaxylykov,Аскербек Жаксылыков,118,Bronze medal
1998,Bulat Biizhanov,Болат Бижанов,,Participant
1998,Adil Zhugralin,Әділ Жугралин,,Participant
1998,Nurzhan Ustemirov,Нұржан Өстемиров,,Participant
