Year,Contestant,Original script,Rank,Award
2002,Teddy Salim,Teddy Salim,,Participant
2001,David Sugiman,David Sugiman,51,Silver medal
2001,Purnomo Abdillah,Purnomo Abdillah,110,Bronze medal
2001,Ifnu Bima Fatkan,Ifnu Bima Fatkan,,Participant
2001,Yenni Budiman,Yenni Budiman,,Participant
2000,Noverino Rifai,Noverino Rifai,,Participant
2000,Arief Adhitya,Arief Adhitya,162,Honorable mention
2000,Gufron Gozali,Gufron Gozali,,Participant
2000,Nanung Dwi Putra,Nanung Dwi Putra,,Participant
1999,Hendra Purnawali,Hendra Purnawali,,Participant
1999,Rahmat Santoso,Rahmat Santoso,,Participant
1999,Ketut Nita Santoso,Ketut Nita Santoso,,Participant
1998,Lingga Resineta,Lingga Resineta,,Participant
1998,Sutrisno,Soetrisno,,Participant
1998,Frederyk Anthonius Ngantung,Frederyk Anthonius Ngantung,,Participant
1997,Bonar Asido Sihombing,Bonar Asido Sihombing,,Participant
1997,Sindhunata,Sindhunata,,Participant
1997,Made Budiarta,Made Budiarta,,Participant
1997,M. Rachmat Kaemudin,M. Rachmat Kaemudin,,Participant
