Year,Contestant,Original script,Rank,Award
2001,Lone Nielsen,Lone Nielsen,129,Bronze medal
2001,Hans Henrik Werge,Hans Henrik Werge,,Participant
2000,Morten Foverskov,Morten Foverskov,63,Silver medal
2000,Anders Jensen,Anders Jensen,91,Bronze medal
2000,Nina Lock,Nina Lock,115,Bronze medal
2000,Aline Iskandar,Aline Iskandar,,Participant
1999,Anders Sorrig Mouritzen,Anders Sorrig Mouritzen,93,Bronze medal
1999,Soren Furbo Skodt Nielsen,Soren Furbo Skodt Nielsen,103,Bronze medal
1999,Martin Worm-Leonhard,Martin Worm-Leonhard,,Participant
1999,Karl Tordrup,Karl Tordrup,,Participant
1998,Pia Nielsen,Pia Nielsen,100,Bronze medal
1998,Jan Kamyno Rasmussen,Jan Kamyno Rasmussen,,Participant
1998,Nadja Hawwa Vissing,Nadja Hawwa Vissing,,Participant
1998,Morten Larsen,Morten Larsen,,Participant
1997,Thue Kristensen,Thue Kristensen,114,Bronze medal
1997,Rene Hemmingsen,Rene Hemmingsen,118,Honorable mention
1997,Kasper Moth-Poulsen,Kasper Moth-Poulsen,,Participant
1997,Tine Ejdrup,Tine Ejdrup,,Participant
1996,Jens Knudsen Bjernemose,Jens Knudsen  Bjernemose,97,Bronze medal
1996,Jette Oddershede,Jette Oddershede,104,Bronze medal
1996,Soren Jakobsen,Søren Jakobsen,,Participant
1996,Anne Laren,Anne Laren,,Participant
1995,Brian Schou Rasmussen,Brian Schou Rasmussen,35,Silver medal
1995,Per Hindborg Hemmingsen,Per Hindborg Hemmingsen,65,Bronze medal
1995,Christian Ingemann Mikkelsen,Christian Ingemann Mikkelsen,94,Bronze medal
1995,Mikkel Hindkaer Dahl,Mikkel Hindkaer Dahl,102,Bronze medal
1994,Bjarne Knudsen,Bjarne Knudsen,7,Gold medal
1994,Nikolaj Kjærby Johansen,Nikolaj Kjærby Johansen,44,Silver medal
1994,Kim Brun Clausen,Kim Brun Clausen,75,Bronze medal
1994,Marianne Sloth,Marianne Sloth,96,Bronze medal
1993,Bjarne Knudsen,Bjarne Knudsen,46,Silver medal
1993,Thomas Boesen,Thomas Boesen,63,Bronze medal
1993,Thomas La Cour Jansen,Thomas La Cour Jansen,74,Bronze medal
1993,Kim Johansen,Kim Johansen,,Participant
1992,Jesper Munk Jacobsen,Jesper Munk Jacobsen,30,Silver medal
1992,Susanne Mossin,Susanne Mossin,32,Silver medal
1992,Christian Anton,Christian Anton,34,Silver medal
1992,Thor Asmund,Thor Asmund,,Participant
1991,Jon Tangaa Jensen,Jon Tangaa Jensen,23,Silver medal
1991,Christian Anton,Christian Anton,32,Silver medal
1991,David Brown Hansen,David Brown Hansen,66,Bronze medal
1990,Kresten Skak,Kresten Skak,7,Gold medal
1990,Nicolai Jensen,Nicolai Jensen,,Participant
1990,Jon Tangaa Jensen,Jon Tangaa Jensen,,Participant
1990,Mette Wiegell,Mette Wiegell,,Participant
1989,Kresten Skak,Kresten Skak,51,Bronze medal
