Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1998,Shaowei,Lin,2,0,2,7,7,0,18,158,Bronze medal
2007,Wei Quan,Lim,7,1,0,7,0,0,15,197,Bronze medal
2006,Jiawei,Wu,7,1,1,6,0,0,15,189,Bronze medal
2006,Bryan Kuen-Yew,Hooi,7,1,0,6,1,0,15,189,Bronze medal
2010,Gabriel Ying Lin,Wong,7,2,0,6,1,0,16,199,Bronze medal
1997,Senkodan,Thevendran,4,7,0,6,0,1,18,177,Bronze medal
1997,Cheng Jiann,Huah,4,2,0,5,7,0,18,177,Bronze medal
1996,Jeffrey,Chin How Pang,2,3,1,0,0,7,13,164,Bronze medal
1995,Senkodan,Thevendran,7,0,1,7,7,0,22,162,Bronze medal
2011,Chong Luck Ryan,Kor,7,0,2,7,1,0,17,222,Bronze medal
2008,Dominic Lee,Jun,7,1,0,7,1,0,16,212,Bronze medal
2004,Chongli Daniel,Chen,6,3,1,7,1,0,18,200,Bronze medal
1992,Chee We,Ng,0,7,0,6,0,2,15,133,Bronze medal
1997,Chin How Jeffrey,Pang,1,7,7,2,0,0,17,192,Bronze medal
1988,Kok-Wui,Cheong,7,0,0,0,7,1,15,113,Bronze medal
1990,Li,Woon Lim,1,4,2,1,6,3,17,131,Bronze medal
1993,Chan,Vee Chong,0,2,0,1,2,7,12,176,Bronze medal
2007,Lei,Lei,3,1,0,7,3,0,14,226,Bronze medal
1997,Shaowei,Lin,1,0,1,7,7,0,16,200,Bronze medal
2009,Tian Wen Daniel,Low,7,7,1,0,0,0,15,249,Bronze medal
2001,Nicholas Ming Qiang,Tham,3,0,1,6,2,0,12,212,Bronze medal
2001,Gary Yuen Long,Yeh,3,0,5,2,2,0,12,212,Bronze medal
1999,Chong Kian,Soh,7,0,2,2,1,0,12,202,Bronze medal
1992,Siu Taur,Pang,0,4,0,7,0,3,14,146,Bronze medal
2000,Chin Lum,Kwa,3,5,0,3,0,0,11,213,Bronze medal
2001,Zhiwei Calvin,Lin,4,0,1,1,3,2,11,228,Bronze medal
2003,Kai Fong Ernest,Chong,2,3,0,7,0,0,12,211,Honourable mention
2003,Jingyi Kenneth,Tay,2,1,0,7,1,1,12,211,Honourable mention
1998,Hong Yi,Li,2,7,2,2,0,0,13,206,Honourable mention
2009,Jia Hao Barry,Tng,7,1,1,3,1,0,13,283,Honourable mention
1990,Changkai,Yu,1,7,0,2,5,0,15,156,Honourable mention
1990,Zihuai,Jin,0,7,1,2,5,0,15,156,Honourable mention
1989,Vui Chap,Lam,7,3,0,0,7,0,17,148,Honourable mention
2023,Qinxi,Yu,7,7,0,1,2,0,17,315,Honourable mention
2006,Zheng Kang,Tham,7,1,0,3,3,0,14,254,Honourable mention
2002,Weiyu,Colin Tan,7,0,0,3,2,0,12,249,Honourable mention
1991,Chek Beng,Chua,4,3,0,2,7,0,16,170,Honourable mention
1995,Yi-Huak,Koh,7,0,3,5,1,0,16,222,Honourable mention
2008,Jun Ren,Lim,7,1,0,4,0,0,12,297,Honourable mention
1989,Lup Keen,Ng,2,7,0,7,0,0,16,162,Honourable mention
2017,Jianzhi,Wang,7,4,0,2,1,0,14,342,Honourable mention
2022,Yan Xi,Peh,7,3,0,7,2,0,19,328,Honourable mention
2003,Wei Hao,Teo,2,0,0,7,0,0,9,269,Honourable mention
1994,Swee Heng,Tan,1,7,2,5,0,0,15,230,Honourable mention
2010,Vincent Brian,Arifin Tjeng,7,3,0,3,0,0,13,313,Honourable mention
1998,Yee Fun,Lim,0,0,2,7,0,0,9,253,Honourable mention
1997,Yee Fun,Lim,2,0,0,7,0,0,9,299,Honourable mention
1994,Chui Ping,Ho,0,3,7,3,0,0,13,254,Honourable mention
1994,Han Ping,Chor,0,7,2,2,2,0,13,254,Honourable mention
2001,Zachary Ngaihang,Leung,3,0,0,4,3,0,10,243,
1990,Ziwei,Lin,2,5,1,1,2,3,14,171,
1990,Han,Yin Hsi,2,3,2,1,2,4,14,171,
1993,Choon Siang,Tan,0,0,0,3,2,2,7,241,
2002,Zhiwei Calvin,Lin,1,6,0,0,2,1,10,281,
1988,Jing-Yee,Lim,4,4,0,0,2,0,10,166,
1997,Keng Hee,Yeo,4,0,0,2,3,1,10,285,
1996,Keng Hee,Yeo,4,0,1,0,1,0,6,266,
1992,Huei Chung,Teng,6,1,0,2,0,0,9,204,
2000,Kah Keng,Tay,3,1,1,1,1,0,7,309,
1996,Daniel,Tan Kwang Pang,2,1,1,1,0,0,5,290,
1994,Choon Siang,Tan,1,0,3,3,5,0,12,268,
1999,Chin Lum,Kwa,3,0,1,2,0,1,7,315,
1992,Wing Lup,Leong,2,4,0,1,0,0,7,229,
2000,Wan Long,Ng,2,1,0,3,0,0,6,333,
2000,Kah Seng,Tay,2,1,0,2,1,0,6,333,
2008,Jun Le,Goh,5,1,0,1,0,0,7,392,
1991,Chee We,Ng,4,3,1,0,0,0,8,238,
1993,Swee Heng,Tan,0,0,0,3,1,0,4,311,
2003,?,?,2,2,0,1,0,0,5,346,
1999,Shang Yi,Lu,2,1,0,1,1,1,6,344,
1991,Ki Khoon,Pang,0,0,3,0,4,0,7,245,
2007,Boon Leng,Goh,0,0,0,6,1,0,7,402,
1988,Hsiu Khuern,Tang,1,0,1,0,1,1,4,223,
1995,Wee,Peng Tay,2,0,0,1,2,0,5,348,
1991,Li Ying,Lim,0,0,3,0,0,0,3,279,
